date,name,category,value
1/1/2007,Indonesia,Indonesia,124
1/1/2007,Cameroon,Cameroon,114
1/1/2007,Thailand,Thailand,90
1/1/2007,USA,USA,73
1/1/2007,Iraq,Iraq,60
1/1/2007,Turkey,Turkey,57
1/1/2007,DemocratiRepubliCongo,DemocratiRepubliCongo,22
1/1/2007,DR Congo,DR Congo,22
1/1/2007,Sierra Leone,Sierra Leone,21
1/1/2008,Spain,Spain,154
1/1/2008,Russia,Russia,97
1/1/2008,Kyrgyzstan,Kyrgyzstan,68
1/1/2008,Sudan,Sudan,67
1/1/2008,Venezuela,Venezuela,64
1/1/2008,USA,USA,49
1/1/2008,Nepal,Nepal,28
1/1/2008,Indonesia,Indonesia,21
1/1/2008,Thailand,Thailand,20
1/1/2008,Black Sea,Black Sea,20
1/1/2008,Poland,Poland,20
1/1/2009,Brazil,Brazil,252
1/1/2009,Indonesia,Indonesia,139
1/1/2009,USA,USA,71
1/1/2009,Venezuela,Venezuela,19
1/1/2009,Newfoundland,Newfoundland,17
1/1/2009,Scotland,Scotland,16
1/1/2009,Chile,Chile,13
1/1/2009,India,India,13
1/1/2009,Uganda,Uganda,11
1/1/2009,Netherlands,Netherlands,9
